variable,project_id,RCM,domain,frequency,GCM,experiment_id,period_start,period_end,n_files,path2files
va850,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
va100m,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
hus700,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
siconca,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2081-01-01 00:00:00,2100-12-31 23:00:00,20,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
sfcWind,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
rlds,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:30:00,2100-12-31 23:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
va200,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
ua50m,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
va1000,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
prw,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
mrros,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:30:00,2100-12-31 23:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
hus850,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
uas,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
clgvi,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
va500,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
clwvi,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
snc,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
wa925,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
tsl,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
mrsol,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
