variable,project_id,RCM,domain,frequency,GCM,experiment_id,period_start,period_end,n_files,path2files
prc,I4C,WRF451I,EUR-12f,day,NorESM2-MM,ssp370,2080-01-01 12:00:00,2100-12-31 12:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
hfls,I4C,WRF451I,EUR-12f,day,NorESM2-MM,ssp370,2080-01-01 12:00:00,2100-12-31 12:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
cin,I4C,WRF451I,EUR-12f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
tspav,I4C,WRF451I,EUR-12f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
vas,I4C,WRF451I,EUR-12f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
va850,I4C,WRF451I,EUR-12f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
hus700,I4C,WRF451I,EUR-12f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
sfcWind,I4C,WRF451I,EUR-12f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
rlds,I4C,WRF451I,EUR-12f,day,NorESM2-MM,ssp370,2080-01-01 12:00:00,2100-12-31 12:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
va200,I4C,WRF451I,EUR-12f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
ua50m,I4C,WRF451I,EUR-12f,day,NorESM2-MM,ssp370,2080-01-01 11:30:00,2100-12-31 11:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
